text,sentiment,clean_text
Last session of the day  http://twitpic.com/67ezh,neutral,last session day
 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,shanghai also really exciting precisely skyscrapers galore good tweeps china sh bj
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,recession hit veronique branquinho quit company shame
 happy bday!,positive,happy bday
 http://twitpic.com/4w75p - I like it!!,positive,like
 that`s great!! weee!! visitors!,positive,thats great weee visitors
I THINK EVERYONE HATES ME ON HERE   lol,negative,think everyone hates lol
" soooooo wish i could, but im in school and myspace is completely blocked",negative,soooooo wish could im school myspace completely blocked
 and within a short time of the last clue all of them,neutral,within short time last clue
 What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,get day alright havent done anything yet leaving soon stepsister though
My bike was put on hold...should have known that.... argh total bummer,negative,bike put holdshould known argh total bummer
 I checked.  We didn`t win,neutral,checked didnt win
 .. and you`re on twitter! Did the tavern bore you that much?,neutral,youre twitter tavern bore much
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,im va weekend youngest son turns tomorrowit makes kinda sad getting big check twipics
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,coming socket feel like phones hole virgin thats loose
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,hot today dont like hate new timetable bad week
 Miss you,negative,miss
Cramps . . .,negative,cramps
 you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,guys didnt say hi answer questions yesterday nice songs
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,im going spiritual stagnentation exploding ego realise im great im ok
Stupid storm. No river for us tonight,negative,stupid storm river us tonight
My dead grandpa pays more attention to me than you do,negative,dead grandpa pays attention
"... need retail therapy, bad. AHHH.....gimme money geebus",negative,need retail therapy bad ahhhgimme money geebus
about to go to sleep,neutral,go sleep
 you are lame  go make me breakfast!!,negative,lame go make breakfast
 thats so cool,positive,thats cool
"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,hey peoples dont hate grounded haha im sat eating apple watching death note anime
"Huh, another ScarePoint coding Sunday",neutral,huh another scarepoint coding sunday
 look who I found just for you  --->  http://twitter.com/DJT2009,positive,look found
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,ac fan doesnt swing way sweating hot humid day
 guess that depends on if you want to be on the jury,neutral,guess depends want jury
resorted to eating Mickey Ds ALONE.,neutral,resorted eating mickey ds alone
"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,faux gothy chick looking sorry going camden like poppunk jimmy eat world
 did he ask for your Twitter ID? Your sun sign?,neutral,ask twitter id sun sign
 where`d you go!,neutral,whered go
Watching Body of Lies...good film,positive,watching body liesgood film
Happy mothers day mumm  xoxo,positive,happy mothers day mumm xoxo
So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,really need put laptop start getting ready shindigbut ive missed twitterloves day
 I`m sorry  at least it`s Friday?,negative,im sorry least friday
"feels sorry every time I`m printing out, I use like 200 new papers",negative,feels sorry every time im printing use like new papers
 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,n rog never heard esti beat acum u tweet much
 I always forget SOMETHING when I travel. I am at Newark airport.,neutral,always forget something travel newark airport
Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,left car walked home might need someone rescue petrol light flashing
i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,im updating bretts phone beeps really looking wedding stuff againfor next five months
" Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive,hi agree small children running happy breaking tears
  Hope ur havin fun in da club,positive,hope ur havin fun da club
i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,miss old phone worked good dropped want new one birthday
thinks SG is wonderful,positive,thinks sg wonderful
  im really sorry i know wallah how u feel this life is shittttttttt,negative,im really sorry know wallah u feel life shittttttttt
Not happy,negative,happy
Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,watching acoustic performances mood good friends episode miss show
 I`ll oscillate from one to the other.,neutral,ill oscillate one
I`m so very tired...and have insomnia.,negative,im tiredand insomnia
 Thanks Ennio,positive,thanks ennio
 you should totally come get me and bring me to kelslaws house with you.,neutral,totally come get bring kelslaws house
" You seem nice, you`re generous and you know your stuff",positive,seem nice youre generous know stuff
 U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,u dirrrrrty oh pick hawks figured needed longshot better bet car
almost got a kitty yesterday...but it didn`t work out,neutral,almost got kitty yesterdaybut didnt work
"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,reality needs check schools time party tonight tho im going bed night night
   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,caladesi definitely nice peaceful way spend sunday got lil tan
 i still dont know what we would do though,neutral,still dont know would though
"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,xo dang certain okay
Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral,change plans staying brandon papaya salad
"Dear rain, you suck. Now I gotta change my plans for tonight",negative,dear rain suck got ta change plans tonight
at starbucks with my love. eff school. i have work later too.,neutral,starbucks love eff school work later
